Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,LAR,Jared Goff,GoffJa00,QB,21,2021,0,2,5,58,50,83,1868,2915,21416,126,63,180,401,10,0,0,0,,,,California,
1,2,PHI,Carson Wentz,WentCa00,QB,23,2021,0,1,6,57,43,85,1884,3008,20374,140,57,315,1276,9,2,11,0,,,,North Dakota St.,
1,3,SDG,Joey Bosa,BosaJo00,DE,21,2021,0,4,6,47,47,79,0,0,0,0,0,0,0,0,0,0,0,213,,58.0,Ohio St.,
1,4,DAL,Ezekiel Elliott,ElliEz00,RB,21,2021,1,3,6,59,59,88,1,1,4,0,0,1650,7386,56,288,2244,12,1,,,Ohio St.,
1,5,JAX,Jalen Ramsey,RamsJa00,CB,21,2021,3,5,6,63,29,91,0,0,0,0,0,0,0,0,0,0,0,311,15,,Florida St.,
1,6,BAL,Ronnie Stanley,StanRo00,T,22,2021,1,1,4,39,39,63,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
1,7,SFO,DeForest Buckner,BuckDe00,DE,22,2021,1,2,6,58,36,95,0,0,0,0,0,0,0,0,0,0,0,243,,45.0,Oregon,
1,8,TEN,Jack Conklin,ConkJa00,T,22,2021,2,0,5,49,31,79,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan St.,
1,9,CHI,Leonard Floyd,FloyLe00,OLB,23,2021,0,0,6,42,23,87,0,0,0,0,0,0,0,0,0,0,0,176,2,38.5,Georgia,
1,10,NYG,Eli Apple,ApplEl00,CB,21,2021,0,0,4,22,9,73,0,0,0,0,0,0,0,0,0,0,0,238,5,,Ohio St.,
1,11,TAM,Vernon Hargreaves III,HargVe00,CB,21,2021,0,0,4,16,10,69,0,0,0,0,0,0,0,0,0,0,0,245,4,,Florida,
1,12,NOR,Sheldon Rankins,RankSh00,DT,22,2021,0,0,2,19,17,79,0,0,0,0,0,0,0,0,0,0,0,92,1,20.5,Louisville,
1,13,MIA,Laremy Tunsil,TunsLa00,T,22,2021,0,2,5,36,15,77,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,
1,14,OAK,Karl Joseph,JoseKa00,S,22,2021,0,0,4,16,14,65,0,0,0,0,0,0,0,0,0,0,0,221,5,3.0,West Virginia,
1,15,CLE,Corey Coleman,ColeCo00,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor,
1,16,DET,Taylor Decker,DeckTa00,T,23,2021,0,0,5,33,33,80,0,0,0,0,0,0,0,0,3,15,2,,,,Ohio St.,
1,17,ATL,Keanu Neal,NealKe01,S,21,2021,0,1,3,20,17,63,0,0,0,0,0,0,0,0,0,0,0,287,2,2.0,Florida,
1,18,IND,Ryan Kelly,KellRy00,C,23,2021,0,3,6,43,43,80,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama,
1,19,BUF,Shaq Lawson,LawsSh00,DE,22,2021,0,0,1,19,11,78,0,0,0,0,0,0,0,0,0,0,0,95,1,21.5,Clemson,
1,20,NYJ,Darron Lee,LeexDa00,OLB,21,2020,0,0,3,19,17,58,0,0,0,0,0,0,0,0,0,0,0,178,3,4.0,Ohio St.,
1,21,HOU,Will Fuller,FullWi01,WR,22,2021,0,0,5,24,24,55,0,0,0,0,0,4,6,0,213,3136,24,,,,Notre Dame,
1,22,WAS,Josh Doctson,DoctJo00,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU,
1,23,MIN,Laquon Treadwell,TreaLa00,WR,21,2021,0,0,2,8,5,70,0,0,0,0,0,0,0,0,104,1184,5,2,,,Mississippi,
1,24,CIN,William Jackson III,JackWi02,CB,23,2021,0,0,4,18,15,71,0,0,0,0,0,0,0,0,0,0,0,155,5,1.0,Houston,
1,25,PIT,Artie Burns,BurnAr00,CB,21,2021,0,0,1,16,14,69,0,0,0,0,0,0,0,0,0,0,0,140,4,,Miami (FL),
1,26,DEN,Paxton Lynch,LyncPa00,QB,22,2017,0,0,0,2,2,5,79,128,792,4,4,16,55,0,0,0,0,,,,Memphis,
1,27,GNB,Kenny Clark,ClarKe01,DT,20,2021,0,2,5,40,40,89,0,0,0,0,0,0,0,0,0,0,0,167,,22.5,UCLA,
1,28,SFO,Joshua Garnett,GarnJo00,G,22,2020,0,0,1,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
1,29,ARI,Robert Nkemdiche,NkemRo00,DT,21,2021,0,0,0,6,5,38,0,0,0,0,0,0,0,0,0,0,0,33,,4.5,Mississippi,
1,30,CAR,Vernon Butler,ButlVe00,DT,22,2021,0,0,2,13,8,76,0,0,0,0,0,0,0,0,0,0,0,56,,8.0,Louisiana Tech,
1,31,SEA,Germain Ifedi,IfedGe00,G,22,2021,0,0,4,36,29,85,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
2,32,CLE,Emmanuel Ogbah,OgbaEm00,DE,22,2021,0,0,5,32,15,83,0,0,0,0,0,0,0,0,0,0,0,144,,36.0,Oklahoma St.,
