Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,ARI,Kyler Murray,MurrKy00,QB,22,2021,0,2,3,44,44,46,1057,1581,11480,70,34,314,1786,20,0,7,0,,,,Oklahoma,
1,2,SFO,Nick Bosa,BosaNi00,DE,21,2021,0,2,2,24,24,35,0,0,0,0,0,0,0,0,0,0,0,75,1,24.5,Ohio St.,
1,3,NYJ,Quinnen Williams,WillQu00,DT,21,2021,0,0,3,16,16,41,0,0,0,0,0,0,0,0,0,0,0,83,,15.5,Alabama,
1,4,OAK,Clelin Ferrell,FerrCl00,DE,22,2021,0,0,2,11,11,42,0,0,0,0,0,0,0,0,0,0,0,50,,8.0,Clemson,
1,5,TAM,Devin White,WhitDe02,LB,21,2021,0,1,3,32,32,45,0,0,0,0,0,0,0,0,0,0,0,242,1,15.0,LSU,
1,6,NYG,Daniel Jones,JoneDa05,QB,22,2021,0,0,3,24,24,38,796,1268,8398,45,29,172,1000,5,1,16,0,,,,Duke,
1,7,JAX,Josh Allen,AlleJo03,LB,22,2021,0,1,2,15,15,40,0,0,0,0,0,0,0,0,0,0,0,84,1,20.5,Kentucky,
1,8,DET,T.J. Hockenson,HockTJ00,TE,22,2021,0,1,2,13,13,40,0,0,0,0,0,1,0,0,160,1673,12,2,,,Iowa,
1,9,BUF,Ed Oliver,OlivEd00,DT,21,2021,0,0,2,23,23,49,0,0,0,0,0,0,0,0,0,0,0,76,,12.0,Houston,
1,10,PIT,Devin Bush Jr.,BushDe01,LB,21,2021,0,0,1,17,17,35,0,0,0,0,0,0,0,0,0,0,0,129,2,4.0,Michigan,
1,11,CIN,Jonah Williams,WillJo10,G,21,2021,0,0,2,13,13,26,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,
1,12,GNB,Rashan Gary,GaryRa00,LB,21,2021,0,0,1,12,12,47,0,0,0,0,0,0,0,0,0,0,0,59,,16.5,Michigan,
1,13,MIA,Christian Wilkins,WilkCh00,DT,23,2021,0,0,3,21,21,47,0,0,0,0,0,0,0,0,2,2,2,107,1,8.0,Clemson,
1,14,ATL,Chris Lindstrom,LindCh00,G,22,2021,0,0,2,15,15,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Boston Col.,
1,15,WAS,Dwayne Haskins,HaskDw00,QB,22,2020,0,0,0,4,4,16,267,444,2804,12,14,40,147,1,0,0,0,,,,Ohio St.,
1,16,CAR,Brian Burns,BurnBr00,DE,21,2021,0,1,2,19,19,48,0,0,0,0,0,0,0,0,0,0,0,85,,25.5,Florida St.,
1,17,NYG,Dexter Lawrence,LawrDe03,DT,21,2021,0,0,2,19,19,48,0,0,0,0,0,0,0,0,0,0,0,81,,9.0,Clemson,
1,18,MIN,Garrett Bradbury,BradGa00,C,24,2021,0,0,3,19,19,45,0,0,0,0,0,0,0,0,2,17,0,,,,North Carolina St.,
1,19,TEN,Jeffery Simmons,SimmJe01,DT,22,2021,0,1,3,24,24,41,0,0,0,0,0,0,0,0,0,0,0,84,,13.5,Mississippi St.,
1,20,DEN,Noah Fant,FantNo00,TE,21,2021,0,0,3,14,14,47,0,0,0,0,0,3,-12,0,170,1905,10,2,,,Iowa,
1,21,GNB,Darnell Savage Jr.,SavaDa00,S,22,2021,0,0,3,15,15,46,0,0,0,0,0,0,0,0,0,0,0,146,8,1.0,Maryland,
1,22,PHI,Andre Dillard,DillAn00,T,23,2021,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,
1,23,HOU,Tytus Howard,HowaTy00,T,23,2021,0,0,3,17,17,37,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.,
1,24,OAK,Josh Jacobs,JacoJo01,RB,21,2021,0,1,3,22,22,43,0,0,0,0,0,732,3087,28,107,752,0,1,,,Alabama,
1,25,BAL,Marquise Brown,BrowMa04,WR,22,2021,0,0,2,24,24,46,0,0,0,0,0,2,6,0,195,2361,21,,,,Oklahoma,
1,26,WAS,Montez Sweat,SweaMo00,DE,23,2021,0,0,2,19,19,42,0,0,0,0,0,0,0,0,0,0,0,72,1,21.0,Mississippi St.,
1,27,OAK,Johnathan Abram,AbraJo01,S,22,2021,0,0,2,9,9,28,0,0,0,0,0,0,0,0,0,0,0,125,3,,Mississippi St.,
1,28,LAC,Jerry Tillery,TillJe00,DT,22,2021,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,52,,9.5,Notre Dame,
1,29,SEA,L.J. Collier,CollLJ00,DE,23,2021,0,0,1,8,8,37,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,TCU,
1,30,NYG,Deandre Baker,BakeDe00,CB,22,2021,0,0,1,6,5,26,0,0,0,0,0,0,0,0,0,0,0,65,,1.0,Georgia,
1,31,ATL,Kaleb McGary,McGaKa00,T,24,2021,0,0,3,21,21,46,0,0,0,0,0,0,0,0,1,-3,0,,,,Washington,
1,32,NWE,N'Keal Harry,HarrNK00,WR,21,2021,0,0,1,6,6,33,0,0,0,0,0,7,49,0,57,598,4,,,,Arizona St.,
2,33,ARI,Byron Murphy,MurpBy00,CB,21,2021,0,0,2,15,15,47,0,0,0,0,0,0,0,0,0,0,0,155,5,2.5,Washington,
2,34,IND,Rock Ya-Sin,Ya-SRo00,CB,23,2021,0,0,0,11,11,41,0,0,0,0,0,0,0,0,0,0,0,117,2,,Temple,
2,35,JAX,Jawaan Taylor,TaylJa02,T,21,2021,0,0,3,19,19,49,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
2,36,SFO,Deebo Samuel,SamuDe00,WR,23,2021,1,1,2,26,26,38,1,2,24,1,0,81,550,11,167,2598,10,1,,,South Carolina,
2,37,CAR,Greg Little,LittGr01,T,21,2020,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,
2,38,BUF,Cody Ford,FordCo00,T,22,2021,0,0,1,13,13,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,
2,39,TAM,Sean Murphy-Bunting,BuntSe00,CB,22,2021,0,0,1,12,12,41,0,0,0,0,0,0,0,0,0,0,0,120,4,1.0,Central Michigan,
2,40,OAK,Trayvon Mullen,MullTr00,CB,21,2021,0,0,2,10,10,37,0,0,0,0,0,0,0,0,0,0,0,115,4,,Clemson,
2,41,DEN,Dalton Risner,RisnDa00,T,24,2021,0,0,3,17,17,47,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,
2,42,DEN,Drew Lock,LockDr00,QB,22,2021,0,0,1,12,12,24,421,710,4740,25,20,72,285,5,1,1,0,1,,,Missouri,
2,43,DET,Jahlani Tavai,TavaJa00,LB,22,2021,0,0,1,10,8,44,0,0,0,0,0,0,0,0,0,0,0,75,1,2.0,Hawaii,
2,44,GNB,Elgton Jenkins,JenkEl00,C,23,2021,0,1,2,22,22,40,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,
2,45,NWE,Joejuan Williams,WillJo13,CB,21,2021,0,0,0,3,3,36,0,0,0,0,0,0,0,0,0,0,0,31,,,Vanderbilt,
2,46,CLE,Greedy Williams,WillGr00,CB,21,2021,0,0,1,7,7,28,0,0,0,0,0,0,0,0,0,0,0,72,2,,LSU,
2,47,SEA,Marquise Blair,BlaiMa01,S,22,2021,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,34,,,Utah,
2,48,NOR,Erik McCoy,McCoEr01,C,22,2021,0,0,3,19,19,44,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
2,49,IND,Ben Banogu,BanoBe00,LB,23,2021,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,10,,2.5,TCU,
2,50,MIN,Irv Smith Jr.,SmitIr01,TE,21,2020,0,0,0,6,6,29,0,0,0,0,0,0,0,0,66,676,7,2,,,Alabama,
2,51,TEN,A.J. Brown,BrowAJ00,WR,22,2021,0,1,3,30,30,43,0,2,0,0,0,5,70,1,185,2995,24,2,,,Mississippi,
2,52,CIN,Drew Sample,SampDr00,TE,23,2021,0,0,1,4,4,42,0,0,0,0,0,0,0,0,56,460,1,1,,,Washington,
2,53,PHI,Miles Sanders,SandMi01,RB,22,2021,0,0,3,20,20,40,0,0,0,0,0,480,2439,9,104,864,3,,,,Penn St.,
2,54,HOU,Lonnie Johnson Jr.,JohnLo01,CB,23,2021,0,0,0,8,8,44,0,0,0,0,0,0,0,0,0,0,0,128,3,,Kentucky,
2,55,HOU,Max Scharping,SchaMa01,T,23,2021,0,0,3,16,16,48,0,0,0,0,0,0,0,0,0,7,0,,,,Northern Illinois,
2,56,KAN,Mecole Hardman,HardMe00,WR,21,2021,0,1,0,19,19,49,0,0,0,0,0,16,94,0,126,1791,12,1,,,Georgia,
2,57,PHI,JJ Arcega-Whiteside,ArceJJ00,WR,22,2021,0,0,0,2,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,Stanford,
2,58,DAL,Trysten Hill,HillTr00,DT,21,2021,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,17,,0.5,Central Florida,
2,59,IND,Parris Campbell,CampPa00,WR,22,2021,0,0,0,4,4,15,0,0,0,0,0,6,50,0,34,360,2,,,,Ohio St.,
2,60,LAC,Nasir Adderley,AddeNa00,S,22,2021,0,0,2,9,9,34,0,0,0,0,0,0,0,0,0,0,0,129,1,0.5,Delaware,
2,61,LAR,Taylor Rapp,RappTa00,S,21,2021,0,0,2,14,14,41,0,0,0,0,0,0,0,0,0,0,0,158,7,1.5,Washington,
2,62,ARI,Andy Isabella,IsabAn00,WR,22,2021,0,0,0,4,4,36,0,0,0,0,0,5,9,0,31,426,3,2,,,Massachusetts,
2,63,KAN,Juan Thornhill,ThorJu00,S,23,2021,0,0,3,13,13,49,0,0,0,0,0,0,0,0,0,0,0,118,5,,Virginia,
2,64,SEA,D.K. Metcalf,MetcDK00,WR,21,2021,0,1,3,29,29,49,0,0,0,0,0,3,17,0,216,3170,29,1,,,Mississippi,
3,65,ARI,Zach Allen,AlleZa01,DE,22,2021,0,0,2,12,12,32,0,0,0,0,0,0,0,0,0,0,0,56,1,6.0,Boston Col.,
3,66,PIT,Diontae Johnson,JohnDi01,WR,23,2021,0,1,3,22,22,47,0,0,0,0,0,12,109,0,254,2764,20,,,,Toledo,
3,67,SFO,Jalen Hurd,HurdJa00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,
3,68,NYJ,Jachai Polite,PoliJa00,LB,22,2020,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Florida,
3,69,JAX,Josh Oliver,OlivJo00,TE,22,2021,0,0,0,1,0,18,0,0,0,0,0,0,0,0,12,81,0,2,,,San Jose St.,
3,70,LAR,Darrell Henderson,HendDa00,RB,22,2021,0,0,1,11,11,40,0,0,0,0,0,326,1459,10,49,372,4,,,,Memphis,
3,71,DEN,Dre'Mont Jones,JoneDr00,DT,22,2021,0,0,1,12,12,43,0,0,0,0,0,0,0,0,0,0,0,52,1,15.5,Ohio St.,
3,72,CIN,Germaine Pratt,PratGe00,LB,23,2021,0,0,3,19,19,47,0,0,0,0,0,0,0,0,0,0,0,162,1,0.5,North Carolina St.,
