Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
7,226,SEA,David Moore,MoorDa03,WR,22,2021,0,0,2,12,12,50,0,0,0,0,0,12,91,0,78,1163,13,,,,East Central (OK),
7,227,TEN,Josh Carraway,CarrJo00,OLB,23,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,
7,228,DAL,Joey Ivie,IvieJo00,DT,22,2019,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
7,229,SFO,Adrian Colbert,ColbAd00,DB,23,2021,0,0,1,8,5,39,0,0,0,0,0,0,0,0,0,0,0,84,,,Miami (FL),
7,230,WAS,Josh Harvey-Clemons,HarvJo01,S,23,2019,0,0,0,4,4,35,0,0,0,0,0,0,0,0,0,0,0,29,,1.5,Louisville,
7,231,OAK,Jylan Ware,WareJy00,T,23,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.,
7,232,MIN,Elijah Lee,LeexEl00,LB,21,2021,0,0,0,8,,66,0,0,0,0,0,0,0,0,0,0,0,77,,1.0,Kansas St.,
7,233,CAR,Harrison Butker,ButkHa00,K,22,2021,0,0,0,19,,77,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia Tech,
7,234,LAR,Ejuan Price,PricEj00,DE,24,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,
7,235,WAS,Joshua Holsey,HolsJo01,DB,23,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Auburn,
7,236,TEN,Brad Seaton,SeatBr00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Villanova,
7,237,MIA,Isaiah Ford,FordIs00,WR,21,2021,0,0,0,5,5,32,0,0,0,0,0,1,11,0,63,681,2,1,,,Virginia Tech,
7,238,GNB,Devante Mays,MaysDe00,RB,23,2017,0,0,0,0,0,8,0,0,0,0,0,4,1,0,3,0,0,,,,Utah St.,
7,239,DAL,Noah Brown,BrowNo00,WR,21,2021,0,0,0,3,3,50,0,0,0,0,0,1,4,0,39,425,0,6,,,Ohio St.,
7,240,JAX,Marquez Williams,WillMa09,FB,23,2017,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),
7,241,TEN,Khalfani Muhammad,MuhaKh00,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,California,
7,242,OAK,Elijah Hood,HoodEl00,RB,21,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,
7,243,HOU,Kyle Fuller,FullKy01,C,23,2021,0,0,0,6,1,34,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,
7,244,OAK,Treyvon Hester,HestTr00,DT,24,2019,0,0,0,3,1,41,0,0,0,0,0,0,0,0,0,0,0,19,,2.0,Toledo,
7,245,MIN,Jack Tocho,TochJa00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,
7,246,DAL,Jordan Carrell,CarrJo01,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,
7,247,GNB,Malachi Dupre,DuprMa01,WR,21,2018,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,
7,248,PIT,Keion Adams,AdamKe02,OLB,22,,0,0,0,,,,,,,,,,,,,,,,,,Western Michigan,
7,249,SEA,Chris Carson,CarsCh00,RB,22,2021,0,0,3,29,29,49,0,0,0,0,0,769,3502,24,107,804,7,,,,Oklahoma St.,
7,250,DET,Pat O'Connor,OConPa00,DE,23,2021,0,0,0,3,,40,0,0,0,0,0,0,0,0,0,0,0,9,,1.5,East. Michigan,
7,251,CIN,Mason Schreck,SchrMa00,TE,23,2021,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,,,Buffalo,
7,252,CLE,Matthew Dayes,DayeMa00,RB,23,2018,0,0,0,0,0,23,0,0,0,0,0,5,13,0,4,29,0,9,,,North Carolina St.,
7,253,DEN,Chad Kelly,KellCh00,QB,23,2018,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,,,,Mississippi,
