Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,CLE,Baker Mayfield,MayfBa00,QB,23,2021,0,0,4,42,42,60,1185,1924,14125,92,56,158,571,5,1,17,0,,,,Oklahoma,
1,2,NYG,Saquon Barkley,BarkSa00,RB,21,2021,0,1,3,28,28,44,0,0,0,0,0,659,2937,19,190,1482,8,,,,Penn St.,
1,3,NYJ,Sam Darnold,DarnSa00,QB,21,2021,0,0,4,22,16,50,972,1625,10624,54,52,162,639,10,0,0,0,,,,USC,
1,4,CLE,Denzel Ward,WardDe02,CB,21,2021,0,2,4,24,24,52,0,0,0,0,0,0,0,0,0,0,0,151,10,0.5,Ohio St.,
1,5,DEN,Bradley Chubb,ChubBr00,DE,22,2021,0,1,2,23,23,41,0,0,0,0,0,0,0,0,0,0,0,92,1,20.5,North Carolina St.,
1,6,IND,Quenton Nelson,NelsQu00,G,22,2021,3,4,4,50,50,61,0,0,0,0,0,1,0,0,0,0,0,1,,,Notre Dame,
1,7,BUF,Josh Allen,AlleJo02,QB,22,2021,0,2,4,51,51,61,1245,1999,14114,103,46,422,2325,31,1,12,1,1,,,Wyoming,
1,8,CHI,Roquan Smith,SmitRo07,ILB,21,2021,0,0,4,39,39,61,0,0,0,0,0,0,0,0,0,0,0,348,5,14.0,Georgia,
1,9,SFO,Mike McGlinchey,McGlMi00,T,23,2021,0,0,3,23,23,52,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
1,10,ARI,Josh Rosen,RoseJo01,QB,21,2021,0,0,1,3,2,24,277,513,2864,12,21,26,151,0,0,0,0,,,,UCLA,
1,11,MIA,Minkah Fitzpatrick,FitzMi00,S,21,2021,2,2,3,38,4,64,0,0,0,0,0,0,0,0,0,0,0,239,13,,Alabama,
1,12,TAM,Vita Vea,VeaxVi00,DT,23,2021,0,1,2,24,24,50,0,0,0,0,0,0,0,0,1,1,1,68,,11.5,Washington,
1,13,WAS,Daron Payne,PaynDa00,DT,21,2021,0,0,4,27,27,64,0,0,0,0,0,0,0,0,0,0,0,129,1,14.5,Alabama,
1,14,NOR,Marcus Davenport,DaveMa00,DE,22,2021,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,62,,21.0,Texas-San Antonio,
1,15,OAK,Kolton Miller,MillKo00,T,22,2021,0,0,4,27,27,63,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,
1,16,BUF,Tremaine Edmunds,EdmuTr01,ILB,20,2021,0,2,4,39,39,61,0,0,0,0,0,0,0,0,0,0,0,293,4,5.5,Virginia Tech,
1,17,LAC,Derwin James,JameDe00,S,22,2021,1,2,2,17,17,36,0,0,0,0,0,0,0,0,0,0,0,173,5,5.5,Florida St.,
1,18,GNB,Jaire Alexander,AlexJa00,CB,21,2021,0,1,3,22,22,48,0,0,0,0,0,0,0,0,0,0,0,160,5,1.5,Louisville,
1,19,DAL,Leighton Vander Esch,VandLe00,OLB,22,2021,0,1,4,27,27,52,0,0,0,0,0,0,0,0,0,0,0,225,3,2.5,Boise St.,
1,20,DET,Frank Ragnow,RagnFr00,C,22,2021,0,1,3,23,23,49,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas,
1,21,CIN,Billy Price,PricBi01,C,23,2021,0,0,2,14,9,58,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,
1,22,TEN,Rashaan Evans,EvanRa01,ILB,22,2021,0,0,3,25,25,59,0,0,0,0,0,0,0,0,0,0,0,196,2,3.0,Alabama,
1,23,NWE,Isaiah Wynn,WynnIs00,T,22,2021,0,0,3,16,16,34,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,
1,24,CAR,D.J. Moore,MoorD.00,WR,21,2021,0,0,4,33,33,63,0,1,0,0,0,29,282,0,301,4313,14,3,,,Maryland,
1,25,BAL,Hayden Hurst,HursHa00,TE,25,2021,0,0,0,12,6,57,0,0,0,0,0,1,0,0,125,1304,12,1,,,South Carolina,
1,26,ATL,Calvin Ridley,RidlCa00,WR,23,2021,0,0,2,26,26,49,0,0,0,0,0,13,62,0,248,3342,28,1,,,Alabama,
1,27,SEA,Rashaad Penny,PennRa00,RB,22,2021,0,0,0,12,12,37,0,0,0,0,0,280,1572,11,23,206,1,,,,San Diego St.,
1,28,PIT,Terrell Edmunds,EdmuTe00,S,21,2021,0,0,4,21,21,64,0,0,0,0,0,0,0,0,0,0,0,235,5,3.0,Virginia Tech,
1,29,JAX,Taven Bryan,BryaTa00,DT,22,2021,0,0,2,10,10,63,0,0,0,0,0,0,0,0,0,0,0,51,,5.5,Florida,
1,30,MIN,Mike Hughes,HughMi00,CB,21,2021,0,0,0,8,5,41,0,0,0,0,0,0,0,0,0,0,0,107,3,,Central Florida,
1,31,NWE,Sony Michel,MichSo00,RB,23,2021,0,0,2,21,15,55,0,0,0,0,0,743,3137,18,47,386,2,1,,,Georgia,
1,32,BAL,Lamar Jackson,JackLa00,QB,21,2021,1,2,3,59,59,58,852,1329,9967,84,31,615,3673,21,0,0,0,,,,Louisville,
2,33,CLE,Austin Corbett,CorbAu00,C,23,2021,0,0,3,19,1,55,0,0,0,0,0,0,0,0,0,0,0,3,,,Nevada,
2,34,NYG,Will Hernandez,HernWi00,G,23,2021,0,0,3,23,23,62,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso,
2,35,CLE,Nick Chubb,ChubNi00,RB,22,2021,0,3,4,35,35,58,0,0,0,0,0,908,4816,36,92,751,3,2,,,Georgia,
2,36,IND,Darius Leonard,LeonDa00,LB,23,2021,3,3,4,55,55,58,0,0,0,0,0,0,0,0,0,0,0,343,11,15.0,South Carolina St.,
2,37,IND,Braden Smith,SmitBr06,G,22,2021,0,0,4,27,27,56,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,
2,38,TAM,Ronald Jones II,JoneRo01,RB,21,2021,0,0,2,17,17,55,0,0,0,0,0,488,2174,18,76,571,1,1,,,USC,
2,39,CHI,James Daniels,DaniJa01,C,20,2021,0,0,4,18,18,54,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,
2,40,DEN,Courtland Sutton,SuttCo00,WR,22,2021,0,1,2,20,20,50,2,2,54,0,0,4,16,0,175,2658,12,1,,,SMU,
2,41,TEN,Harold Landry,LandHa00,OLB,22,2021,0,1,3,28,28,64,0,0,0,0,0,0,0,0,0,0,0,164,2,31.0,Boston Col.,
