Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
3,71,NYG,Aaron Robinson,RobiAa00,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,16,,,Central Florida,
3,72,DET,Alim McNeill,McNeAl00,DT,21,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,North Carolina St.,
3,73,PHI,Milton Williams,WillMi08,DL,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,Louisiana Tech,
3,74,WAS,Benjamin St-Juste,StJuBe00,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,20,,,Minnesota,
3,75,DAL,Osa Odighizuwa,OdigOs00,DL,23,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,21,,2.0,UCLA,
3,76,NOR,Paulson Adebo,AdebPa00,CB,22,2021,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,55,3,,Stanford,
3,77,LAC,Josh Palmer,PalmJo00,WR,22,2021,0,0,0,3,3,17,0,0,0,0,0,1,6,0,33,353,4,2,,,Tennessee,
3,78,MIN,Chazz Surratt,SurrCh00,LB,24,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,
3,79,LVR,Malcolm Koonce,KoonMa00,DE,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,Buffalo,
3,80,LVR,Divine Deablo,DeabDi00,DB,23,2021,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,28,,,Virginia Tech,
3,81,MIA,Hunter Long,LongHu00,TE,23,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,8,0,,,,Boston Col.,
3,82,WAS,Dyami Brown,BrowDy00,WR,21,2021,0,0,0,1,1,15,0,0,0,0,0,1,-4,0,12,165,0,1,,,North Carolina,
3,83,CAR,Tommy Tremble,TremTo00,TE,21,2021,0,0,1,1,1,16,0,0,0,0,0,3,11,1,20,180,1,2,,,Notre Dame,
3,84,DAL,Chauncey Golston,GolsCh00,DL,23,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,Iowa,
3,85,GNB,Amari Rodgers,RodgAm00,WR,21,2021,0,0,0,1,1,16,0,0,0,0,0,1,11,0,4,45,0,3,,,Clemson,
3,86,MIN,Wyatt Davis,DaviWy00,OL,22,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
3,87,PIT,Kendrick Green,GreeKe02,OL,22,2021,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,
3,88,SFO,Trey Sermon,SermTr00,RB,22,2021,0,0,0,1,1,9,0,0,0,0,0,41,167,1,3,26,0,1,,,Ohio St.,
3,89,HOU,Nico Collins,CollNi00,WR,22,2021,0,0,0,3,3,14,0,0,0,0,0,0,0,0,33,446,1,1,,,Michigan,
3,90,MIN,Patrick Jones II,JonePa00,DL,22,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,Pittsburgh,
3,91,CLE,Anthony Schwartz,SchwAn00,WR,21,2021,0,0,0,1,1,14,0,0,0,0,0,6,39,0,10,135,1,2,,,Auburn,
3,92,TEN,Monty Rice,RiceMo00,LB,22,2021,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,17,,,Georgia,
3,93,BUF,Spencer Brown,BrowSp00,OL,23,2021,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,
3,94,BAL,Ben Cleveland,ClevBe00,OL,23,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,
3,95,TAM,Robert Hainsey,HainRo00,OL,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
3,96,NWE,Ronnie Perkins,PerkRo00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,
3,97,LAC,Tre' McKitty,McKiTr00,TE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,45,0,1,,,Georgia,
3,98,DEN,Quinn Meinerz,MeinQu02,C,22,2021,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin–Whitewater,
3,99,DAL,Nahshon Wright,WrigNa00,DB,22,2021,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7,,,Oregon St.,
3,100,TEN,Elijah Molden,MoldEl00,DB,22,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,43,1,,Washington,
