Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,TAM,Jameis Winston,WinsJa00,QB,21,2021,0,1,5,58,54,83,1665,2720,20982,135,91,288,1204,11,0,0,0,,,,Florida St.,
1,2,TEN,Marcus Mariota,MariMa01,QB,21,2021,0,0,4,45,44,74,1128,1795,13437,77,45,264,1574,13,2,62,1,,,,Oregon,
1,3,JAX,Dante Fowler,FowlDa00,OLB,21,2021,0,0,2,23,5,91,0,0,0,0,0,0,0,0,0,0,0,137,,35.0,Florida,
1,4,OAK,Amari Cooper,CoopAm00,WR,21,2021,0,4,7,50,24,108,0,0,0,0,0,14,41,0,517,7076,46,,,,Alabama,
1,5,WAS,Brandon Scherff,ScheBr00,T,23,2021,1,5,7,47,47,89,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,
1,6,NYJ,Leonard Williams,WillLe02,DE,21,2021,0,1,6,49,32,112,0,0,0,0,0,0,0,0,0,0,0,198,1,35.5,USC,
1,7,CHI,Kevin White,WhitKe00,WR,23,2021,0,0,0,2,2,23,0,0,0,0,0,1,9,0,26,323,0,1,,,West Virginia,
1,8,ATL,Vic Beasley,BeasVi00,OLB,23,2020,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson,
1,9,NYG,Ereck Flowers,FlowEr00,T,21,2021,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),
1,10,STL,Todd Gurley,GurlTo01,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia,
1,11,MIN,Trae Waynes,WaynTr00,CB,23,2021,0,0,3,19,19,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1.0,Michigan St.,
1,12,CLE,Danny Shelton,ShelDa01,NT,22,2021,0,0,5,33,15,100,0,0,0,0,0,0,0,0,0,0,0,138,,6.0,Washington,
1,13,NOR,Andrus Peat,PeatAn00,T,21,2021,0,3,5,46,46,84,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
1,14,MIA,DeVante Parker,ParkDe01,WR,22,2021,0,0,4,32,32,93,0,0,0,0,0,0,0,0,338,4727,24,2,,,Louisville,
1,15,SDG,Melvin Gordon,GordMe00,RB,22,2021,0,2,7,48,38,98,0,0,0,0,0,1477,6144,53,284,2244,14,,,,Wisconsin,
1,16,HOU,Kevin Johnson,JohnKe04,CB,23,2020,0,0,0,11,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest,
1,17,SFO,Arik Armstead,ArmsAr01,DT,21,2021,0,0,5,34,34,95,0,0,0,0,0,0,0,0,0,0,0,154,,28.5,Oregon,
1,18,KAN,Marcus Peters,PeteMa00,CB,22,2020,2,3,5,56,32,91,0,0,0,0,0,0,0,0,0,0,0,249,31,1.0,Washington,
1,19,CLE,Cameron Erving,ErviCa00,C,23,2021,0,0,3,27,6,84,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
1,20,PHI,Nelson Agholor,AghoNe00,WR,22,2021,0,0,7,30,18,102,1,1,15,0,0,14,71,0,309,3884,29,,,,USC,
1,21,CIN,Cedric Ogbuehi,OgbuCe00,T,23,2021,0,0,2,14,11,60,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
